session,ts_ms,gross_bps
20260818-190823,1787080121355,-0.618120989457174
20260818-190823,1787080121457,-0.618120989457174
20260818-190823,1787080121559,-0.618120989457174
20260818-190823,1787080121661,-0.618120989457174
20260818-190823,1787080121531,-0.618120989457174
20260818-190823,1787080121763,-0.618120989457174
20260818-190823,1787080121865,-0.618120989457174
20260818-190823,1787080121967,-0.618120989457174
20260818-190823,1787080122069,-0.618120989457174
20260818-190823,1787080122171,-0.618120989457174
20260818-190823,1787080122273,-0.618120989457174
20260818-190823,1787080122375,-0.618120989457174
20260818-190823,1787080122477,-0.618120989457174
20260818-190823,1787080122579,-0.618120989457174
20260818-190823,1787080122681,-0.618120989457174
20260818-190823,1787080122783,-0.618120989457174
20260818-190823,1787080122885,-0.618120989457174
20260818-190823,1787080122987,-0.618120989457174
20260818-190823,1787080123089,-0.618120989457174
20260818-190823,1787080123191,-0.618120989457174
20260818-190823,1787080123293,-0.618120989457174
20260818-190823,1787080123216,-0.618120989457174
20260818-190823,1787080123395,-0.618120989457174
20260818-190823,1787080123497,-0.618120989457174
20260818-190823,1787080123599,-0.618120989457174
20260818-190823,1787080123701,-0.618120989457174
20260818-190823,1787080123803,-0.618120989457174
20260818-190823,1787080123745,-0.618120989457174
20260818-190823,1787080123905,-0.618120989457174
20260818-190823,1787080124007,-0.618120989457174
20260818-190823,1787080124109,-0.618120989457174
20260818-190823,1787080124211,-0.618120989457174
20260818-190823,1787080124313,-0.618120989457174
20260818-190823,1787080124415,-0.618120989457174
20260818-190823,1787080124517,-0.618120989457174
20260818-190823,1787080124467,-0.618120989457174
20260818-190823,1787080124619,-0.618120989457174
20260818-190823,1787080124721,-0.618120989457174
20260818-190823,1787080124575,-0.618120989457174
20260818-190823,1787080124823,-0.618120989457174
20260818-190823,1787080124925,-0.618120989457174
20260818-190823,1787080125027,-0.618120989457174
20260818-190823,1787080125129,-0.618120989457174
20260818-190823,1787080125075,-0.618120989457174
20260818-190823,1787080125231,-0.618120989457174
20260818-190823,1787080125333,-0.618120989457174
20260818-190823,1787080125435,-0.618120989457174
20260818-190823,1787080125353,-0.618120989457174
20260818-190823,1787080125537,-0.618120989457174
20260818-190823,1787080125639,-0.618120989457174
20260818-190823,1787080125741,-0.618120989457174
20260818-190823,1787080125843,-0.618120989457174
20260818-190823,1787080125945,-0.618120989457174
20260818-190823,1787080126047,-0.618120989457174
20260818-190823,1787080126149,-0.618120989457174
20260818-190823,1787080126251,-0.618120989457174
20260818-190823,1787080126353,-0.618120989457174
20260818-190823,1787080126455,-0.618120989457174
20260818-190823,1787080126557,-0.618120989457174
20260818-190823,1787080126537,-0.618120989457174
20260818-190823,1787080126659,-0.618120989457174
20260818-190823,1787080126761,-0.618120989457174
20260818-190823,1787080126657,-0.618120989457174
20260818-190823,1787080126863,-0.618120989457174
20260818-190823,1787080126965,-0.618120989457174
20260818-190823,1787080127067,-0.618120989457174
20260818-190823,1787080127001,-0.618120989457174
20260818-190823,1787080127169,-0.618120989457174
20260818-190823,1787080127271,-0.618120989457174
20260818-190823,1787080127373,-0.618120989457174
20260818-190823,1787080127266,-0.618120989457174
20260818-190823,1787080127475,-0.618120989457174
20260818-190823,1787080127577,-0.618120989457174
20260818-190823,1787080127520,-0.618120989457174
